1.24e+03	3.00e+00	1.00e+00	6.40e+01	300.0
1947.	3.	2.	17.	509.8
1725.	3.	2.	42.	394.0
1959.	3.	2.	15.	540.0
1.31e+03	2.00e+00	1.00e+00	1.40e+01	415.0
864.	2.	1.	66.	230.0
1.84e+03	3.00e+00	1.00e+00	1.70e+01	560.0
1.03e+03	3.00e+00	1.00e+00	4.30e+01	294.0
3.19e+03	4.00e+00	2.00e+00	8.70e+01	718.2
788.	2.	1.	80.	200.0
1200.	2.	2.	17.	302.0
1.56e+03	2.00e+00	1.00e+00	1.80e+01	468.0
1.43e+03	3.00e+00	1.00e+00	2.00e+01	374.2
1.22e+03	2.00e+00	1.00e+00	1.50e+01	388.0
1.09e+03	2.00e+00	1.00e+00	6.40e+01	282.0
848.	1.	1.	17.	311.8
1682.	3.	2.	23.	401.0
1768.	3.	2.	18.	449.8
1.04e+03	3.00e+00	1.00e+00	4.40e+01	301.0
1.65e+03	2.00e+00	1.00e+00	2.10e+01	502.0
1.09e+03	2.00e+00	1.00e+00	3.50e+01	340.0
1.32e+03	3.00e+00	1.00e+00	1.40e+01	400.282
1.59e+03	0.00e+00	1.00e+00	2.00e+01	572.0
972.	2.	1.	73.	264.0
1.1e+03	3.0e+00	1.0e+00	3.7e+01	304.0
1.0e+03	2.0e+00	1.0e+00	5.1e+01	298.0
904.	3.	1.	55.	219.8
1.69e+03	3.00e+00	1.00e+00	1.30e+01	490.7
1.07e+03	2.00e+00	1.00e+00	1.00e+02	216.96
1419.	3.	2.	19.	368.2
1.16e+03	3.00e+00	1.00e+00	5.20e+01	280.0
1935.	3.	2.	12.	526.87
1216.	2.	2.	74.	237.0
2.48e+03	4.00e+00	2.00e+00	1.60e+01	562.426
1.2e+03	2.0e+00	1.0e+00	1.8e+01	369.8
1840.	3.	2.	20.	460.0
1851.	3.	2.	57.	374.0
1660.	3.	2.	19.	390.0
1096.	2.	2.	97.	158.0
1775.	3.	2.	28.	426.0
2.03e+03	4.00e+00	2.00e+00	4.50e+01	390.0
1784.	4.	2.	107.	277.774
1.07e+03	2.00e+00	1.00e+00	1.00e+02	216.96
1.55e+03	3.00e+00	1.00e+00	1.60e+01	425.8
1953.	3.	2.	16.	504.0
1224.	2.	2.	12.	329.0
1.62e+03	3.00e+00	1.00e+00	1.60e+01	464.0
816.	2.	1.	58.	220.0
1.35e+03	3.00e+00	1.00e+00	2.10e+01	358.0
1.57e+03	3.00e+00	1.00e+00	1.40e+01	478.0
1.49e+03	3.00e+00	1.00e+00	5.70e+01	334.0
1.51e+03	2.00e+00	1.00e+00	1.60e+01	426.98
1.1e+03	3.0e+00	1.0e+00	2.7e+01	290.0
1764.	3.	2.	24.	463.0
1.21e+03	2.00e+00	1.00e+00	1.40e+01	390.8
1470.	3.	2.	24.	354.0
1768.	3.	2.	84.	350.0
1.65e+03	3.00e+00	1.00e+00	1.90e+01	460.0
1.03e+03	3.00e+00	1.00e+00	6.00e+01	237.0
1120.	2.	2.	16.	288.304
1.15e+03	3.00e+00	1.00e+00	6.20e+01	282.0
816.	2.	1.	39.	249.0
1.04e+03	3.00e+00	1.00e+00	2.50e+01	304.0
1.39e+03	3.00e+00	1.00e+00	6.40e+01	332.0
1603.	3.	2.	29.	351.8
1.22e+03	3.00e+00	1.00e+00	6.30e+01	310.0
1.07e+03	2.00e+00	1.00e+00	1.00e+02	216.96
2.6e+03	4.0e+00	2.0e+00	2.2e+01	666.336
1.43e+03	3.00e+00	1.00e+00	5.90e+01	330.0
2.09e+03	3.00e+00	2.00e+00	2.60e+01	480.0
1790.	4.	2.	49.	330.3
1484.	3.	2.	16.	348.0
1.04e+03	3.00e+00	1.00e+00	2.50e+01	304.0
1.43e+03	3.00e+00	1.00e+00	2.20e+01	384.0
1.16e+03	3.00e+00	1.00e+00	5.30e+01	316.0
1547.	3.	2.	12.	430.4
1983.	3.	2.	22.	450.0
1.06e+03	3.00e+00	1.00e+00	5.30e+01	284.0
1.18e+03	2.00e+00	1.00e+00	9.90e+01	275.0
1.36e+03	2.00e+00	1.00e+00	1.70e+01	414.0
960.	3.	1.	51.	258.0
1456.	3.	2.	16.	378.0
1446.	3.	2.	25.	350.0
1.21e+03	2.00e+00	1.00e+00	1.50e+01	412.0
1553.	3.	2.	16.	373.0
882.	3.	1.	49.	225.0
2.03e+03	4.00e+00	2.00e+00	4.50e+01	390.0
1.04e+03	3.00e+00	1.00e+00	6.20e+01	267.4
1.62e+03	3.00e+00	1.00e+00	1.60e+01	464.0
803.	2.	1.	80.	174.0
1430.	3.	2.	21.	340.0
1.66e+03	3.00e+00	1.00e+00	6.10e+01	430.0
1.54e+03	3.00e+00	1.00e+00	1.60e+01	440.0
948.	3.	1.	53.	216.0
1224.	2.	2.	12.	329.0
1.43e+03	2.00e+00	1.00e+00	4.30e+01	388.0
1660.	3.	2.	19.	390.0
1.21e+03	3.00e+00	1.00e+00	2.00e+01	356.0
1.05e+03	2.00e+00	1.00e+00	6.50e+01	257.8
